Scenarios,Production TRUNC,degree trun,distance,height,section
scenario 563,96%,51,120%,50%,100%
scenario 564,96%,53,120%,60%,100%
scenario 565,96%,54,120%,70%,100%
scenario 566,96%,56,120%,80%,100%
scenario 567,95%,57,120%,90%,100%
scenario 568,94%,59,120%,100%,100%
scenario 569,92%,64,120%,150%,100%
scenario 570,91%,68,120%,200%,100%
scenario 571,90%,71,120%,250%,100%
scenario 572,89%,73,120%,300%,100%
scenario 580,97%,33,120%,0,80%
scenario 581,97%,36,120%,10%,80%
scenario 582,96%,39,120%,20%,80%
scenario 583,96%,42,120%,30%,80%
scenario 584,96%,45,120%,40%,80%
scenario 585,96%,47,120%,50%,80%
scenario 586,96%,49,120%,60%,80%
scenario 587,95%,51,120%,70%,80%
scenario 588,94%,53,120%,80%,80%
scenario 589,92%,54,120%,90%,80%
scenario 590,91%,56,120%,100%,80%
scenario 591,90%,62,120%,150%,80%
scenario 592,89%,66,120%,200%,80%
scenario 593,88%,70,120%,250%,80%
scenario 594,85%,72,120%,300%,80%
scenario 602,96%,26,120%,0,60%
scenario 603,96%,30,120%,10%,60%
scenario 604,96%,33,120%,20%,60%
scenario 605,96%,36,120%,30%,60%
scenario 606,96%,39,120%,40%,60%
scenario 607,95%,42,120%,50%,60%
scenario 608,94%,45,120%,60%,60%
scenario 609,92%,47,120%,70%,60%
scenario 610,91%,49,120%,80%,60%
scenario 611,90%,51,120%,90%,60%
scenario 612,89%,53,120%,100%,60%
scenario 613,88%,60,120%,150%,60%
scenario 614,87%,65,120%,200%,60%
scenario 615,86%,68,120%,250%,60%
scenario 616,85%,71,120%,300%,60%
scenario 624,96%,18,120%,0,40%
scenario 625,96%,22,120%,10%,40%
scenario 626,96%,26,120%,20%,40%
scenario 627,95%,30,120%,30%,40%
scenario 628,94%,33,120%,40%,40%
scenario 629,92%,36,120%,50%,40%
scenario 630,91%,39,120%,60%,40%
scenario 631,90%,42,120%,70%,40%
scenario 632,89%,45,120%,80%,40%
scenario 633,88%,47,120%,90%,40%
scenario 634,87%,49,120%,100%,40%
scenario 635,86%,57,120%,150%,40%
scenario 636,85%,63,120%,200%,40%
scenario 637,85%,67,120%,250%,40%
scenario 638,84%,70,120%,300%,40%
scenario 646,96%,9,120%,0,20%
scenario 647,95%,14,120%,10%,20%
scenario 648,94%,18,120%,20%,20%
scenario 649,91%,22,120%,30%,20%
scenario 650,89%,26,120%,40%,20%
scenario 651,89%,30,120%,50%,20%
scenario 652,88%,33,120%,60%,20%
scenario 653,88%,36,120%,70%,20%
scenario 654,87%,39,120%,80%,20%
scenario 655,87%,42,120%,90%,20%
scenario 656,86%,45,120%,100%,20%
scenario 657,86%,54,120%,150%,20%
scenario 658,85%,61,120%,200%,20%
scenario 659,85%,66,120%,250%,20%
scenario 660,84%,69,120%,300%,20%
scenario 668,99%,35,140%,0,100%
scenario 669,98%,38,140%,10%,100%
scenario 670,97%,40,140%,20%,100%
scenario 671,97%,42,140%,30%,100%
scenario 672,97%,45,140%,40%,100%
scenario 673,97%,46,140%,50%,100%
scenario 674,96%,48,140%,60%,100%
scenario 675,96%,50,140%,70%,100%
scenario 676,96%,52,140%,80%,100%
scenario 677,96%,53,140%,90%,100%
scenario 678,96%,55,140%,100%,100%
scenario 679,95%,60,140%,150%,100%
scenario 680,94%,64,140%,200%,100%
scenario 681,93%,68,140%,250%,100%
scenario 682,92%,70,140%,300%,100%
scenario 690,97%,29,140%,0,80%
scenario 691,97%,32,140%,10%,80%
scenario 692,97%,35,140%,20%,80%
scenario 693,97%,38,140%,30%,80%
scenario 694,96%,40,140%,40%,80%
scenario 695,96%,42,140%,50%,80%
scenario 696,96%,45,140%,60%,80%
scenario 697,96%,46,140%,70%,80%
scenario 698,96%,48,140%,80%,80%
scenario 699,95%,50,140%,90%,80%
scenario 700,94%,52,140%,100%,80%
scenario 701,93%,58,140%,150%,80%
scenario 702,92%,63,140%,200%,80%
scenario 703,91%,67,140%,250%,80%
scenario 704,90%,69,140%,300%,80%
scenario 712,97%,23,140%,0,60%
scenario 713,97%,26,140%,10%,60%
scenario 714,96%,29,140%,20%,60%
scenario 715,96%,32,140%,30%,60%
scenario 716,96%,35,140%,40%,60%
scenario 717,96%,38,140%,50%,60%
scenario 718,96%,40,140%,60%,60%
scenario 719,95%,42,140%,70%,60%
scenario 720,94%,45,140%,80%,60%
scenario 721,93%,46,140%,90%,60%
scenario 722,92%,48,140%,100%,60%
scenario 723,91%,56,140%,150%,60%
scenario 724,90%,61,140%,200%,60%
scenario 725,88%,65,140%,250%,60%
scenario 726,87%,68,140%,300%,60%
scenario 734,96%,15,140%,0,40%
scenario 735,96%,19,140%,10%,40%
scenario 736,96%,23,140%,20%,40%
scenario 737,96%,26,140%,30%,40%
scenario 738,96%,29,140%,40%,40%
scenario 739,95%,32,140%,50%,40%
scenario 740,94%,35,140%,60%,40%
scenario 741,93%,38,140%,70%,40%
scenario 742,92%,40,140%,80%,40%
scenario 743,91%,42,140%,90%,40%
scenario 744,90%,45,140%,100%,40%
scenario 745,88%,53,140%,150%,40%
scenario 746,87%,59,140%,200%,40%
scenario 747,87%,64,140%,250%,40%
scenario 748,87%,67,140%,300%,40%
scenario 756,96%,8,140%,0,20%
scenario 757,96%,12,140%,10%,20%
scenario 758,96%,15,140%,20%,20%
scenario 759,95%,19,140%,30%,20%
scenario 760,94%,23,140%,40%,20%
scenario 761,93%,26,140%,50%,20%
scenario 762,92%,29,140%,60%,20%
scenario 763,91%,32,140%,70%,20%
scenario 764,90%,35,140%,80%,20%
scenario 765,90%,38,140%,90%,20%
scenario 766,89%,40,140%,100%,20%
scenario 767,88%,50,140%,150%,20%
scenario 768,87%,57,140%,200%,20%
scenario 769,87%,62,140%,250%,20%
scenario 770,87%,66,140%,300%,20%
scenario 778,100%,32,160%,0,100%
scenario 779,99%,34,160%,10%,100%
scenario 780,98%,36,160%,20%,100%
scenario 781,97%,39,160%,30%,100%
scenario 782,97%,41,160%,40%,100%
scenario 783,97%,43,160%,50%,100%
scenario 784,97%,45,160%,60%,100%
scenario 785,97%,46,160%,70%,100%
scenario 786,97%,48,160%,80%,100%
scenario 787,97%,49,160%,90%,100%
scenario 788,97%,51,160%,100%,100%
scenario 789,96%,57,160%,150%,100%
scenario 790,96%,61,160%,200%,100%
scenario 791,95%,65,160%,250%,100%
scenario 792,94%,68,160%,300%,100%
scenario 800,98%,26,160%,0,80%
scenario 801,97%,29,160%,10%,80%
scenario 802,97%,32,160%,20%,80%
scenario 803,97%,34,160%,30%,80%
scenario 804,97%,36,160%,40%,80%
scenario 805,97%,39,160%,50%,80%
scenario 806,97%,41,160%,60%,80%
scenario 807,97%,43,160%,70%,80%
scenario 808,97%,45,160%,80%,80%
scenario 809,96%,46,160%,90%,80%
scenario 810,96%,48,160%,100%,80%
scenario 811,95%,55,160%,150%,80%
scenario 812,94%,60,160%,200%,80%
scenario 813,93%,64,160%,250%,80%
scenario 814,92%,67,160%,300%,80%
scenario 822,97%,20,160%,0,60%
scenario 823,97%,23,160%,10%,60%
scenario 824,97%,26,160%,20%,60%
scenario 825,97%,29,160%,30%,60%
scenario 826,97%,32,160%,40%,60%
scenario 827,97%,34,160%,50%,60%
scenario 828,96%,36,160%,60%,60%
scenario 829,96%,39,160%,70%,60%
scenario 830,95%,41,160%,80%,60%
scenario 831,94%,43,160%,90%,60%
scenario 832,93%,45,160%,100%,60%
scenario 833,92%,52,160%,150%,60%
scenario 834,90%,58,160%,200%,60%
scenario 835,89%,62,160%,250%,60%
scenario 836,89%,66,160%,300%,60%
scenario 844,97%,14,160%,0,40%
scenario 845,97%,17,160%,10%,40%
scenario 846,97%,20,160%,20%,40%
scenario 847,97%,23,160%,30%,40%
scenario 848,97%,26,160%,40%,40%
scenario 849,96%,29,160%,50%,40%
scenario 850,96%,32,160%,60%,40%
scenario 851,95%,34,160%,70%,40%
scenario 852,94%,36,160%,80%,40%
scenario 853,93%,39,160%,90%,40%
scenario 854,92%,41,160%,100%,40%
scenario 855,90%,49,160%,150%,40%
scenario 856,89%,56,160%,200%,40%
scenario 857,89%,61,160%,250%,40%
scenario 858,88%,64,160%,300%,40%
scenario 866,97%,7,160%,0,20%
scenario 867,97%,10,160%,10%,20%
scenario 868,96%,14,160%,20%,20%
scenario 869,96%,17,160%,30%,20%
scenario 870,96%,20,160%,40%,20%
scenario 871,96%,23,160%,50%,20%
scenario 872,94%,26,160%,60%,20%
scenario 873,93%,29,160%,70%,20%
scenario 874,92%,32,160%,80%,20%
scenario 875,92%,34,160%,90%,20%
scenario 876,91%,36,160%,100%,20%
scenario 877,90%,46,160%,150%,20%
scenario 878,89%,53,160%,200%,20%
scenario 879,89%,59,160%,250%,20%
scenario 880,88%,63,160%,300%,20%
scenario 888,100%,29,180%,0,100%
scenario 889,100%,31,180%,10%,100%
scenario 890,99%,33,180%,20%,100%
scenario 891,98%,35,180%,30%,100%
scenario 892,98%,37,180%,40%,100%
scenario 893,98%,39,180%,50%,100%
scenario 894,98%,41,180%,60%,100%
scenario 895,97%,43,180%,70%,100%
scenario 896,97%,45,180%,80%,100%
scenario 897,97%,46,180%,90%,100%
scenario 898,97%,48,180%,100%,100%
scenario 899,96%,54,180%,150%,100%
scenario 900,95%,59,180%,200%,100%
scenario 901,94%,62,180%,250%,100%
scenario 902,91%,65,180%,300%,100%
scenario 910,98%,23,180%,0,80%
scenario 911,98%,26,180%,10%,80%
scenario 912,98%,29,180%,20%,80%
scenario 913,98%,31,180%,30%,80%
scenario 914,97%,33,180%,40%,80%
scenario 915,97%,35,180%,50%,80%
scenario 916,97%,37,180%,60%,80%
scenario 917,97%,39,180%,70%,80%
scenario 918,97%,41,180%,80%,80%
scenario 919,97%,43,180%,90%,80%
scenario 920,96%,45,180%,100%,80%
scenario 921,96%,51,180%,150%,80%
scenario 922,94%,57,180%,200%,80%
scenario 923,90%,61,180%,250%,80%
scenario 924,90%,64,180%,300%,80%
scenario 932,98%,18,180%,0,60%
scenario 933,98%,21,180%,10%,60%
scenario 934,97%,23,180%,20%,60%
scenario 935,97%,26,180%,30%,60%
scenario 936,97%,29,180%,40%,60%
scenario 937,97%,31,180%,50%,60%
scenario 938,97%,33,180%,60%,60%
scenario 939,97%,35,180%,70%,60%
scenario 940,97%,37,180%,80%,60%
scenario 941,96%,39,180%,90%,60%
scenario 942,95%,41,180%,100%,60%
scenario 943,95%,49,180%,150%,60%
scenario 944,92%,55,180%,200%,60%
scenario 945,90%,59,180%,250%,60%
scenario 946,90%,63,180%,300%,60%
scenario 954,97%,12,180%,0,40%
scenario 955,97%,15,180%,10%,40%
scenario 956,97%,18,180%,20%,40%
scenario 957,97%,21,180%,30%,40%
scenario 958,97%,23,180%,40%,40%
scenario 959,97%,26,180%,50%,40%
scenario 960,97%,29,180%,60%,40%
scenario 961,97%,31,180%,70%,40%
scenario 962,96%,33,180%,80%,40%
scenario 963,95%,35,180%,90%,40%
scenario 964,95%,37,180%,100%,40%
scenario 965,92%,46,180%,150%,40%
scenario 966,91%,53,180%,200%,40%
scenario 967,91%,58,180%,250%,40%
scenario 968,90%,62,180%,300%,40%
scenario 976,97%,6,180%,0,20%
scenario 977,97%,9,180%,10%,20%
scenario 978,97%,12,180%,20%,20%
scenario 979,97%,15,180%,30%,20%
scenario 980,97%,18,180%,40%,20%
scenario 981,97%,21,180%,50%,20%
scenario 982,96%,23,180%,60%,20%
scenario 983,96%,26,180%,70%,20%
scenario 984,95%,29,180%,80%,20%
scenario 985,94%,31,180%,90%,20%
scenario 986,93%,33,180%,100%,20%
scenario 987,92%,43,180%,150%,20%
scenario 988,91%,50,180%,200%,20%
scenario 989,90%,56,180%,250%,20%
scenario 990,90%,60,180%,300%,20%
scenario 998,100%,26,200%,0,100%
scenario 999,99%,28,200%,10%,100%
scenario 1000,98%,30,200%,20%,100%
scenario 1001,98%,33,200%,30%,100%
scenario 1002,98%,34,200%,40%,100%
scenario 1003,98%,36,200%,50%,100%
scenario 1004,98%,38,200%,60%,100%
scenario 1005,98%,40,200%,70%,100%
scenario 1006,97%,41,200%,80%,100%
scenario 1007,97%,43,200%,90%,100%
scenario 1008,97%,45,200%,100%,100%
scenario 1009,97%,51,200%,150%,100%
scenario 1010,94%,56,200%,200%,100%
scenario 1011,93%,60,200%,250%,100%
scenario 1012,91%,63,200%,300%,100%
scenario 1020,98%,21,200%,0,80%
scenario 1021,98%,24,200%,10%,80%
scenario 1022,98%,26,200%,20%,80%
scenario 1023,98%,28,200%,30%,80%
scenario 1024,98%,30,200%,40%,80%
scenario 1025,98%,33,200%,50%,80%
scenario 1026,97%,34,200%,60%,80%
scenario 1027,97%,36,200%,70%,80%
scenario 1028,97%,38,200%,80%,80%
scenario 1029,97%,40,200%,90%,80%
scenario 1030,97%,41,200%,100%,80%
scenario 1031,97%,48,200%,150%,80%
scenario 1032,93%,54,200%,200%,80%
scenario 1033,92%,58,200%,250%,80%
scenario 1034,91%,62,200%,300%,80%
scenario 1042,98%,16,200%,0,60%
scenario 1043,98%,19,200%,10%,60%
scenario 1044,98%,21,200%,20%,60%
scenario 1045,98%,24,200%,30%,60%
scenario 1046,97%,26,200%,40%,60%
scenario 1047,97%,28,200%,50%,60%
scenario 1048,97%,30,200%,60%,60%
scenario 1049,97%,33,200%,70%,60%
scenario 1050,97%,34,200%,80%,60%
scenario 1051,97%,36,200%,90%,60%
scenario 1052,97%,38,200%,100%,60%
scenario 1053,94%,46,200%,150%,60%
scenario 1054,93%,52,200%,200%,60%
scenario 1055,92%,57,200%,250%,60%
scenario 1056,91%,60,200%,300%,60%
scenario 1064,98%,11,200%,0,40%
scenario 1065,98%,14,200%,10%,40%
scenario 1066,97%,16,200%,20%,40%
scenario 1067,97%,19,200%,30%,40%
scenario 1068,97%,21,200%,40%,40%
scenario 1069,97%,24,200%,50%,40%
scenario 1070,97%,26,200%,60%,40%
scenario 1071,97%,28,200%,70%,40%
scenario 1072,97%,30,200%,80%,40%
scenario 1073,97%,33,200%,90%,40%
scenario 1074,97%,34,200%,100%,40%
scenario 1075,94%,43,200%,150%,40%
scenario 1076,92%,50,200%,200%,40%
scenario 1077,91%,55,200%,250%,40%
scenario 1078,91%,59,200%,300%,40%
scenario 1086,97%,5,200%,0,20%
scenario 1087,97%,8,200%,10%,20%
scenario 1088,97%,11,200%,20%,20%
scenario 1089,97%,14,200%,30%,20%
scenario 1090,97%,16,200%,40%,20%
scenario 1091,97%,19,200%,50%,20%
scenario 1092,97%,21,200%,60%,20%
scenario 1093,97%,24,200%,70%,20%
scenario 1094,97%,26,200%,80%,20%
scenario 1095,96%,28,200%,90%,20%
scenario 1096,95%,30,200%,100%,20%
scenario 1097,93%,40,200%,150%,20%
scenario 1098,92%,47,200%,200%,20%
scenario 1099,91%,53,200%,250%,20%
scenario 1100,91%,57,200%,300%,20%
